weight,concentration,grade
8.875851710010068,23.37162229454653,2
7.258401738350696,19.364426904543265,1
10.689583360436991,17.16595853186148,1
7.883840591771382,16.11524002055083,1
13.55433594745836,18.284015742842044,1
8.863397409415146,21.085169530595085,2
12.989748116510013,21.109164515384286,1
7.91200583303848,17.955165567167455,1
11.028780865396111,17.56515776121503,1
9.882072910361133,15.385621432210733,1
10.007025440237244,15.427006466213697,1
7.46255421732547,22.97610471199347,1
11.496255900088222,22.101978040320944,2
12.022211700627086,22.569627729635776,2
9.851204719529859,16.31181347957802,1
8.999725246993917,19.481378171834955,2
11.197675985640883,18.174928136748225,1
10.300290256420638,23.878080008953233,2
8.09241327781164,20.494532655535917,2
9.317008639821427,21.127266170258913,2
11.433822710164284,15.291127763529722,1
6.824383126947834,19.554914532109873,1
12.935401572130967,14.89822270273662,-1
9.12989324568289,18.165581877105243,1
12.195969451753983,21.859021839245948,2
7.61120878037616,15.713144423052615,1
11.702240115896055,22.60475549187959,2
9.761573086064,23.04220689357889,2
14.884167504434673,13.244394270596086,-1
12.991244381938387,13.462877854676211,-1
8.909882700158345,19.28273044539757,2
6.110946583821927,21.985255683186168,1
4.5575992394028235,15.17023956440623,1
9.68992614185495,15.496853768901083,1
8.361679179884762,27.128837927438113,1
7.218413460721987,19.707784488617335,1
11.495521118819077,13.855629001820365,-1
10.59787143431388,17.471755809663435,1
6.317965664962904,24.168821816332528,1
14.163526052154069,22.753616203508322,1
11.60657841542254,15.697664437252888,1
7.26991901754322,22.31142238029238,1
11.328309715102716,21.698272108212848,2
10.432945753303608,22.2915432396527,2
11.256176746125266,18.384022520044716,1
9.369401920432953,17.561073554526065,1
4.761146811186936,24.5493902522563,-1
13.679770718525194,21.01193172396642,1
8.81401626738882,16.290444212756654,1
7.8870943596331475,27.269807838789433,1
5.35141166200903,14.137661196699778,-1
6.016590525318788,18.066386877495816,1
10.367888689898612,24.279625912461587,2
8.460570226348784,16.844310059970365,1
8.467927033465285,23.4197989057677,2
15.646169616565963,18.563857045839388,-1
11.003010609678908,27.8494533256227,1
11.63424542732789,18.43038458442118,1
12.508794083048386,25.189340418774886,2
7.227668685164953,18.268267863432243,1
12.408644591145901,20.42386798988445,2
12.270328534201404,20.105888977898875,1
11.54635558176663,16.93817291896396,1
10.52151764386856,21.105927612001597,2
6.975969724120602,26.618281563154785,1
12.871976936438372,11.82922650179808,-1
9.966161777845768,23.87096073070017,2
13.658513581130293,19.699229989639935,1
9.799871942101474,20.342695894176266,2
6.796891338658463,20.128854260178993,1
4.50158046034106,19.711850084403412,1
7.199548541407022,22.612297520498156,1
9.965251761706984,23.653084818481567,2
8.86049610578938,20.97232248134102,2
16.062225815085238,19.8854527446684,-1
8.31757577830287,15.839238247682673,1
7.969281876344693,20.6837850621956,2
12.110787775257092,23.113290448569863,2
9.378786362152539,23.870951743173908,2
6.5132543520498,12.666568267707333,-1
10.327003738208056,18.96722684844996,2
6.342846098280189,21.419652440758767,1
14.599654765996641,22.273426043664763,1
3.653389869936868,24.0313232225117,-1
9.460896203971693,14.571428737103403,1
9.41707136246407,23.280370281180996,2
9.07943657348395,18.93643491099434,2
12.130967182616807,21.069764416481302,2
7.929142632586899,20.93964647731582,2
7.660931172634249,25.954272563971397,1
10.922401049858651,25.6782332737006,1
10.90084312908701,18.825946712678096,1
9.913073686414918,27.989510160567182,1
8.813881365381873,19.695614047781103,2
16.524195673881714,20.04604737796444,-1
10.612449055689154,17.36831645747877,1
9.435183834902107,10.349952653200132,-1
6.704355233245386,22.689480932885473,1
7.100535598317428,19.470945915973434,1
9.24194067438223,21.37315698003895,2
8.491399382607206,19.764309854993524,2
12.943061729176643,18.19220779800381,1
5.677548312926049,23.524694590044145,1
3.2654378378602953,20.56467653796774,-1
13.943340146752647,25.32160091653531,1
4.868635262073049,19.913428695497892,1
9.29057426010418,22.655154694423786,2
13.130678063206187,20.807952548764064,1
11.085863688090797,22.07987976040392,2
7.4876952588258225,23.80584033524806,1
5.234611453116617,22.24264206827696,1
12.102118420005773,22.14435320692542,2
12.38107205214569,14.61975947410047,-1
10.36200913470039,22.280746335971116,2
8.43580758816358,16.128970174073004,1
3.981223229515807,20.10514528346594,1
7.4426968839017995,15.090536159507309,1
9.381722318461982,22.45055778517523,2
10.039970934406757,15.949107442936743,1
11.179830346518454,28.945895961555003,1
12.564284491671302,23.13997313773532,2
16.70099683660275,11.16509911060135,-1
6.384428799492879,26.245261289048887,-1
8.470952258193822,19.302848907716253,2
18.184262011802364,16.23683453463758,-1
9.24623263175033,17.614645401954363,1
12.428123756668114,26.140751157136446,1
5.17357117972448,19.071217666266023,1
9.22736601667312,18.86119143220411,2
8.405257602522424,20.227014953390704,2
8.745589462058657,13.737909953311602,-1
5.248055038470596,23.988480773580815,1
16.389870567560443,17.837792728888747,-1
12.65897745170156,17.735059745211963,1
18.25069360983855,24.035285588853327,-1
10.77375973129105,26.2073190211395,1
8.868562134512711,16.4507944176012,1
6.3817677890745195,24.54673260038114,1
10.199527478731216,19.342134051303724,2
6.292058841294026,20.55434187045224,1
13.030466807458822,15.586971952195542,-1
7.963840733422048,13.872415352199095,1
10.142627118686743,17.180323960245936,1
8.262174228107044,16.686804500490418,1
6.985272792735559,18.82796134386448,1
11.618735561100614,26.626543278124863,1
15.064977155603664,20.977285967066447,1
12.96650503709489,19.840180962373037,1
8.150999891901431,21.920305505768177,2
10.26042267689547,22.30209079483443,2
5.308601555818669,19.086869448965444,1
13.043378463146308,21.565188260753345,2
9.577369218023257,18.816902030313777,2
13.348899839596706,13.387179735632706,-1
12.104920844909977,21.918973127293214,2
9.060824212331397,23.2005410705451,2
5.161693956185469,24.714623437430298,-1
7.946873597168656,15.628931628865237,1
10.994784956335092,20.017198121497977,2
10.993664091561635,17.379506462224768,1
8.208948685382085,27.806439636947953,1
8.417718730872503,20.980018388287196,2
3.0456984158660774,21.664676569354622,-1
13.854858799547124,17.044011048332294,-1
6.488220725659029,20.875130893607967,1
13.699835941246615,23.805652644565313,1
13.046170305460599,18.795422280741334,1
13.477087107625518,20.788974131879574,1
8.355391752392071,25.91664632256969,1
5.52319836787926,17.395229740435457,1
12.154574762847638,24.231189947846694,2
9.822865598378801,18.325301992741192,1
7.291354149178966,21.078914290855625,1
8.372748860641416,17.57012784312522,1
8.321573319809172,22.198474025132402,2
9.563164581879555,15.574212612547166,1
10.253395329477465,20.358625541332444,2
10.129992111217955,21.99051718992268,2
12.477520569517646,26.69788337221222,1
12.142990432618456,24.326505025501653,2
12.74372925120863,22.07586175077378,2
7.735811775928575,22.161243899003978,1
11.680162700238196,23.844577741323352,2
4.962576608576854,15.308739665215159,1
9.44895043058403,16.018087980276732,1
8.547746272368295,16.682020755222705,1
6.41243489657216,19.281367348793456,1
14.577849759137997,21.0767873204676,1
9.001866935867227,12.406230120117328,-1
11.845736667653464,20.623138155308933,2
6.656069279939884,26.612022927803146,-1
8.573025936751751,17.97768689732304,1
4.213229823647288,18.65936343156834,1
10.1520188150511,20.897922370782872,2
11.24372377511792,12.276874353122569,-1
6.585147550346301,15.772068242203666,1
9.409685884710239,25.982556056586073,1
11.501048015347658,23.142159337564422,2
10.743032649656598,25.72651319029752,1
9.967963703512334,18.83809048225473,2
12.919831233124759,16.279397490130545,1
8.341999487058661,24.6474753587423,1
11.518222324702649,22.43898693796665,2
8.200661457034053,17.58030810925138,1
13.852384325384147,19.695419650391376,1
5.825663243742017,19.318491983525117,1
10.232457396918242,27.8617773181023,1
10.189172707146664,21.41811208122163,2
12.240383476806686,13.212173473805441,-1
11.951265910690147,20.786247755517643,2
6.324011566273278,15.569910175710511,1
13.086669469018965,22.121167385173703,2
7.656867228316392,10.036331810239933,-1
10.596686292092361,20.275962410167978,2
16.291712927281942,20.731050168074226,1
9.75079478572724,21.097609046434247,2
8.182955041882629,24.684348472765528,1
4.10981900057799,21.167851882340692,1
8.289578059388326,14.674145781347946,1
7.8198948986478385,19.058317890416106,2
14.143506767559437,21.56642693409437,1
4.966769349155829,17.106645173214226,1
12.65377828417753,23.570517294319743,2
5.084890075872847,23.95224304505195,1
5.079528668542351,22.26788519187593,1
5.436800653679907,20.240200271239853,1
7.981589919080373,12.914330735750312,-1
13.789316861028682,20.537443509255418,1
9.157832705632392,16.265143023256947,1
10.674151543612592,17.263471648729393,1
9.170606194286606,26.657163913945475,1
12.283574175129454,21.2724818143338,2
11.720902869270635,21.819271432120527,2
12.868389154454814,25.82607954845887,1
13.816135966609195,18.273219573181073,1
5.274683246216596,22.150103347874897,1
8.223588683269822,20.700196385548267,2
10.232075553109306,16.464443826118703,1
9.904644269763391,25.55282857153688,1
15.15799386384784,16.60655430217231,-1
12.22647501318986,18.9346017787736,1
8.21147885614844,19.346375412955137,2
13.645317715873974,22.43156878530717,1
4.312032178510497,21.000582068379778,1
7.197460046535212,14.55631581145619,1
12.128093218223754,21.49865724585407,2
6.275764393274633,22.41221769866112,1
3.4600595041306867,24.84015239351691,-1
10.491536499033298,20.701470128663086,2
8.929109895205853,17.527819460216946,1
5.495769149903581,26.336678106338333,-1
6.432357295687671,17.05618586594983,1
13.81496729540008,24.85992563317005,1
10.070959818785905,15.26782487014271,1
9.209498537095534,23.39795384004978,2
9.999743216961605,23.492740923929073,2
15.790731460831815,20.24528499675569,1
6.930537540879209,15.634100211285595,1
